"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","19","79.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/02/2022","AQS","320030561","1","0.7","ppm","8","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/03/2022","AQS","320030561","1","1.3","ppm","15","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/04/2022","AQS","320030561","1","1.1","ppm","13","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/05/2022","AQS","320030561","1","1.4","ppm","16","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/06/2022","AQS","320030561","1","1.6","ppm","18","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/07/2022","AQS","320030561","1","1.9","ppm","22","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/08/2022","AQS","320030561","1","0.6","ppm","7","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/09/2022","AQS","320030561","1","0.6","ppm","7","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/10/2022","AQS","320030561","1","1","ppm","11","Sunrise Acres","16","67.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/11/2022","AQS","320030561","1","1.2","ppm","14","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/12/2022","AQS","320030561","1","1.4","ppm","16","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"01/13/2022","AQS","320030561","1","1.6","ppm","18","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
